No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
2-1	2-H	2-H-1	Do you like playing basketball?	あなたはバスケットボールをするのが好きですか？	like -ing		
2-2	2-H	2-H-2	Is Kota good at playing basketball?	コウタはバスケットボールをするのが得意ですか？	be good at -ing		
2-3	2-1	2-1-1	At the gym	体育館で	(場面)		
2-4	2-1	2-1-2	I don't like playing basketball.	僕はバスケットボールをするのが好きじゃない。	動名詞	don't	
2-5	2-1	2-1-3	I'm not good at passing the ball.	僕はボールをパスするのが得意じゃないんだ。	be good at -ing		
2-6	2-1	2-1-4	No problem.	問題ないよ。	(口語表現)		
2-7	2-1	2-1-5	"For beginners, passing the ball isn't easy."	初心者にとって、ボールをパスするのは簡単じゃないよ。	動名詞(主語)	For ~ (?にとって)	
2-8	2-1	2-1-6	But it's all right.	でも大丈夫さ。	(口語表現)		
2-9	2-1	2-1-7	You just need some practice.	君はただ少し練習が必要なだけだよ。	just		
2-10	2-1	2-1-8	On the way home	帰り道	(場面)		
2-11	2-1	2-1-9	Are you nervous about the game?	試合のことで緊張してる？	be nervous about ~		
2-12	2-1	2-1-10	"Actually, yes, a little bit."	実を言うと、うん、少しね。	(応答)		
2-13	2-1	2-1-11	Don't worry! I saw you at the gym today.	心配しないで！今日、体育館で君を見たよ。	Don't worry.		
2-14	2-1	2-1-12	You're doing great.	君はうまくやっているよ。	現在進行形		
2-15	2-1	2-1-13	You think so? Thanks!	そう思う？ありがとう！	(口語表現)		
2-16	2-2	2-2-1	Tina and Eri are watching the game:	ティナとエリは試合を見ています：	現在進行形		
2-17	2-2	2-2-2	Look. We only have one more minute.	見て。あと1分しかないわ。	only	one more	
2-18	2-2	2-2-3	We need more points.	もっと点数が必要よ。	more		
2-19	2-2	2-2-4	Hajin wants to shoot.	ハジンがシュートをしたがっているわ。	不定詞(名詞的用法)		
2-20	2-2	2-2-5	Yes. The important thing is to pass the ball to Hajin.	ええ。大切なのはハジンにボールをパスすることよ。	不定詞(名詞的用法)	be動詞(is)	
2-21	2-2	2-2-6	It's not easy. They're trying to stop Kota.	それは簡単じゃないわ。彼らはコウタを止めようとしている。	try to do		
2-22	2-2	2-2-7	"Look! It worked. Nice pass, Kota!"	見て！うまくいったわ。ナイスパス、コウタ！	(口語表現)		
2-23	2-2	2-2-8	"Go, Hajin!"	行け、ハジン！	(応援)		
2-24	2-3	2-3-1	After the game:	試合の後：	(場面)		
2-25	2-3	2-3-2	Congratulations!	おめでとう！	(祝福)		
2-26	2-3	2-3-3	You did it!	やったね！	(賞賛)		
2-27	2-3	2-3-4	I think you guys did a great job.	君たちは素晴らしい仕事をしたと思うよ。	think (that) S V	do a great job	
2-28	2-3	2-3-5	I'm sure you like playing basketball now.	君は今バスケットボールをするのが好きだと確信しているよ。	I'm sure (that) S V	like -ing	
2-29	2-3	2-3-6	"Yeah, thanks to our coach, Hajin!"	ええ、僕たちのコーチ、ハジンのおかげです！	thanks to ~		
2-30	2-3	2-3-7	You taught us well.	あなたは私たちによく教えてくれました。	teach (の過去形)		
