No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
4-1	4-H	4-H-1	What do you know about Singapore?	あなたはシンガポールについて何を知っていますか？	疑問詞(What)	doの疑問文	
4-2	4-H	4-H-2	Where will Kota go in Singapore?	コウタはシンガポールでどこへ行くのでしょうか？	疑問詞(Where)	will	
4-3	4-1	4-1-1	At a cafe:	カフェにて：	(場面)		
4-4	4-1	4-1-2	Let's make a sightseeing plan!	観光プランを立てましょう！	Let's do		
4-5	4-1	4-1-3	"OK, what do you want to do first?"	いいよ、最初に何をしたい？	疑問詞(What)	want to do	
4-6	4-1	4-1-4	I want to see the Merlion.	僕はマーライオンが見たいな。	want to do		
4-7	4-1	4-1-5	"Sure, but which one?"	もちろん、でもどれだい？	疑問詞(which)		
4-8	4-1	4-1-6	There are several Merlions.	マーライオンはいくつかあるんだよ。	There are ~		
4-9	4-1	4-1-7	Really?	本当に？	(応答)		
4-10	4-1	4-1-8	"The big one by the bay, I guess."	湾のそばの大きいのかな、たぶん。	by ~ (場所)		
4-11	4-1	4-1-9	Sure. Let's start from the Marina area.	もちろん。マリーナエリアから始めよう。	Let's do	start from ~	
4-12	4-1	4-1-10	There is a big one there.	そこに大きいのがあるよ。	There is ~		
4-13	4-1	4-1-11	Is there a big garden near there?	その近くに大きな庭園はある？	There is ~ (疑問文)		
4-14	4-1	4-1-12	"Yeah, Gardens by the Bay."	うん、ガーデンズ・バイ・ザ・ベイだよ。	(応答)		
4-15	4-1	4-1-13	"I want to go there, too."	僕もそこへ行きたいな。	want to do		
4-16	4-1	4-1-14	I saw it on TV. It's so cool.	テレビで見たんだ。すごくかっこいいよね。	on TV		
4-17	4-1	4-1-15	"After that, I'd like to see the traditional part of the city."	その後、私は街の伝統的な部分を見てみたいな。	I'd like to do		
4-18	4-1	4-1-16	We can check out Arab Street later.	後でアラブストリートをチェックできるよ。	can	check out ~	
4-19	4-2	4-2-1	At the Gardens by the Bay:	ガーデンズ・バイ・ザ・ベイにて：	(場面)		
4-20	4-2	4-2-2	This is amazing!	これはすごいわ！	(感嘆)		
4-21	4-2	4-2-3	Yeah. It's like a science fiction movie!	うん。SF映画みたいだね！	like (前置詞)		
4-22	4-2	4-2-4	"Tina, show me your guidebook, please."	ティナ、君のガイドブックを見せて、お願い。	show A B	please	
4-23	4-2	4-2-5	Here you are.	はい、どうぞ。	(口語表現)		
