No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
2-1	2-H	2-H-1	The Minami High School Festival	南高校祭	(タイトル)		
2-2	2-H	2-H-2	May 10 [Sat.] - 11 [Sun.]	5月10日(土) - 11日(日)	(日付)		
2-3	2-H	2-H-3	"Where do you want to go on your school trip, and why?"	あなたは修学旅行でどこに行きたいですか、そしてそれはなぜですか？	疑問詞(Where/Why)	want to do	
2-4	2-H	2-H-4	What will happen during their school trip?	彼らの修学旅行中に何が起こるでしょうか？	疑問詞(What)	will	
2-5	2-1	2-1-1	On the way to Kiyomizu-dera Temple:	清水寺へ向かう途中：	(場面)		
2-6	2-1	2-1-2	Do we go up the hill?	私たちはこの丘を上るのですか？	doの疑問文	go up	
2-7	2-1	2-1-3	Yes. This way.	はい。こちらです。	(応答)		
2-8	2-1	2-1-4	This is so beautiful.	これはとても美しいです。	so (副詞)		
2-9	2-1	2-1-5	It's like traveling back in time.	まるで時間をさかのぼって旅をしているみたいです。	like (前置詞)	動名詞	
2-10	2-1	2-1-6	Look. I think that's the tower of Yasaka.	見て。あれが八坂の塔だと思う。	think (that) S V		
2-11	2-1	2-1-7	Cool!	かっこいい！	(感嘆)		
2-12	2-1	2-1-8	Later:	その後：	(場面転換)		
2-13	2-1	2-1-9	We've arrived at the top!	私たちは頂上に着きました！	現在完了形(完了)		
2-14	2-1	2-1-10	We've finally reached the famous stage of Kiyomizu-dera Temple.	私たちはついに清水寺の有名な舞台に到着しました。	現在完了形(完了)		
2-15	2-1	2-1-11	"Wow, this is amazing!"	うわあ、これはすごい！	(感嘆)		
2-16	2-1	2-1-12	The view is breathtaking.	この眺めは息をのむようです。	be動詞(is)		
2-17	2-1	2-1-13	You can see the whole of Kyoto from here!	ここから京都のすべてが見えますね！	can		
2-18	2-2	2-2-1	They get off the bus:	彼らはバスを降ります：	(場面)		
2-19	2-2	2-2-2	I think Kyoto Station is that way.	京都駅はあちら側だと思います。	think (that) S V		
2-20	2-2	2-2-3	"Tina, have you checked your photos yet?"	ティナ、もう写真は確認した？	現在完了形(完了)	yet (疑問文)	
2-21	2-2	2-2-4	"No, I haven't."	いいえ、まだです。	(応答)		
2-22	2-2	2-2-5	I'll do it at the hotel.	ホテルでやります。	will (I'll)		
2-23	2-2	2-2-6	I want to share them with my family.	家族と共有したいです。	want to do	share A with B	
2-24	2-2	2-2-7	Wait a minute!	ちょっと待って！	命令文		
2-25	2-2	2-2-8	What's wrong?	どうしたの？	(口語表現)		
2-26	2-2	2-2-9	I think I left my camera on the bus.	バスにカメラを置き忘れたと思います。	think (that) S V	leave (置き忘れる)	
2-27	2-2	2-2-10	Really? Don't worry.	本当？心配しないで。	命令文(否定)		
2-28	2-2	2-2-11	I'll get it.	取ってきます。	will (I'll)		
2-29	2-2	2-2-12	Look! The bus hasn't left yet.	見て！バスはまだ出発していません。	現在完了形(完了)	yet (否定文)	
2-30	2-2	2-2-13	"Go, Kota! Hurry up."	行け、コウタ！急いで。	命令文		
2-31	2-2	2-2-14	The bus is leaving.	バスが行ってしまう。	現在進行形(近未来)		
2-32	2-2	2-2-15	"Kota, be careful!"	コウタ、気をつけて！	be動詞の命令文		
2-33	2-3	2-3-1	Hajin: What's up with Kota?	ハジン：コウタはどうしたの？	(口語表現)		
2-34	2-3	2-3-2	Have you ever seen him like that?	彼があんな風なの、今まで見たことある？	現在完了形(経験)	ever	
2-35	2-3	2-3-3	"Eri: No, never."	エリ：いいえ、一度もないわ。	(応答)		
2-36	2-3	2-3-4	He's changed recently.	彼は最近変わったわ。	現在完了形(完了)		
2-37	2-3	2-3-5	"Maybe the reason is you, Tina."	たぶん理由はあなたよ、ティナ。	maybe		
2-38	2-3	2-3-6	Tina: Me?	ティナ：私？	(応答)		
2-39	2-3	2-3-7	Kota returns:	コウタが戻ってくる：	(場面)		
2-40	2-3	2-3-8	Kota: Here you are.	コウタ：はい、どうぞ。	(口語表現)		
2-41	2-3	2-3-9	Tina: You found my camera!	ティナ：私のカメラを見つけてくれたのね！	find		
2-42	2-3	2-3-10	Thank you so much.	本当にありがとう。	(感謝)		
2-43	2-3	2-3-11	So you caught up with the bus?	じゃあ、バスに追いついたの？	catch up with ~		
2-44	2-3	2-3-12	Kota: It's no big deal.	コウタ：たいしたことないよ。	(口語表現)		
2-45	2-3	2-3-13	I'm just happy you didn't lose your photos.	君が写真をなくさなくて、僕はただ嬉しいんだ。	be happy that S V		
2-46	2-3	2-3-14	Eri: Look at the sunset!	エリ：夕日を見て！	look at ~		
2-47	2-3	2-3-15	Kota: Wow. I've never seen such a beautiful sunset.	コウタ：うわあ。こんなに美しい夕日は一度も見たことがないよ。	現在完了形(経験)	never	such a ~
2-48	2-G	2-G-1	A. Kimono Photo Shoot and Shopping Tour in Gion	A. 祇園での着物写真撮影と買い物ツアー	(コース名)		
2-49	2-G	2-G-2	B. Arashiyama and Uzumasa Tour	B. 嵐山と太秦ツアー	(コース名)		
2-50	2-G	2-G-3	C. Uji Matcha and Byodoin Temple Tour	C. 宇治抹茶と平等院ツアー	(コース名)		
2-51	2-G	2-G-4	I want to join course A because ...	私はコースAに参加したいです、なぜなら...	want to do	because	
2-52	2-G	2-G-5	"As Eri said, we can ..."	エリが言ったように、私たちは...できます。	As (?のように)		
2-53	2-G	2-G-6	I agree with Kota.	私はコウタに賛成です。	agree with ~		
2-54	2-G	2-G-7	I like Kota's idea.	私はコウタの考えが好きです。			
2-55	2-G	2-G-8	My opinion is the same as Kota's.	私の意見はコウタのと同じです。	the same as ~		
2-56	2-G	2-G-9	I think Kota's idea is good.	私はコウタの考えは良いと思います。	think (that) S V		
2-57	2-G	2-G-10	I don't agree with Kota.	私はコウタに賛成しません。	don't		
2-58	2-G	2-G-11	"I like Kota's idea, but..."	私はコウタの考えは好きですが、しかし...	but		
2-59	2-G	2-G-12	"Kota's opinion may be correct, but..."	コウタの意見は正しいかもしれませんが、しかし...	may		
2-60	2-G	2-G-13	"Kota's idea sounds good, but..."	コウタの考えは良さそうに聞こえますが、しかし...	sound + 形容詞		
2-61	2-G	2-G-14	Kota says [said] (that) ...	コウタは?と言います（言いました）。			
2-62	2-G	2-G-15	"In Kota's opinion, ..."	コウタの意見では...	In one's opinion		
2-63	2-G	2-G-16	"According to Kota, ..."	コウタによれば...	According to ~		
2-64	2-G	2-G-17	I've heard that...	私は?だと聞いたことがあります。	現在完了形(経験)		
